fname,aff/tps/homo,t1(A11/H11),t2(A12/H12),t3(A13/H13),t4(A21/H21),t5(A22/H22),t6(A23/H23),t7(H31),t8(H32),t9(H33),t10,t11,t12,t13,t14,t15,t16,t17,t18
tokyoTimeMachine/images/dc/dcE2oaOBxr9yAsk9ilPNdA/_201407/dcE2oaOBxr9yAsk9ilPNdA__201407_35.651262_139.689988_030_012.jpg,2,0.9247900138844288,-0.7772114466240513,168.050735004049,0.11022779439821884,0.17509641181005087,132.17562602746725,0.0006299934438565322,-0.0016874114089999244,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tokyoTimeMachine/images/ed/eDiRW6swpgeRLSu4bHns6A/_201504/eDiRW6swpgeRLSu4bHns6A__201504_35.652512_139.686723_330_012.jpg,2,0.3654334178333569,-0.30084706799478506,193.44901413110364,0.03743920406981696,0.4997050149503621,6.406455389350952,-0.0006435211148548866,-0.000488359508948532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tokyoTimeMachine/images/aw/aWbHcqhiVvlsALepgEeEYg/_201407/aWbHcqhiVvlsALepgEeEYg__201407_35.654813_139.689286_060_012.jpg,2,0.4788871423113855,0.7633060743125082,-80.75471737822521,-0.3310831757636144,1.5202907431031565,20.70461020921253,-0.0016338414416981301,0.0021212552909968454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tokyoTimeMachine/images/-e/-eo5S-qSvXelNduPo3DTFA/_201407/-eo5S-qSvXelNduPo3DTFA__201407_35.650042_139.690807_210_012.jpg,1,-1.2546009449301798,-0.725170713322924,-1.07872092864778,-0.118125387780335,0.193000631753462,-0.19040798162047096,1.06818948916558,1.43773689129279,0.8412588764176809,-0.858052046866297,-0.114901834871014,0.979992422915784,-1.00525545563254,-0.153773019284727,0.70350324375954,-1.40930026672417,0.160666735841681,0.8974206978121478
tokyoTimeMachine/images/ao/aOMl3TK61kJX5RrJFiab2Q/_200909/aOMl3TK61kJX5RrJFiab2Q__200909_35.650221_139.684400_090_012.jpg,2,0.5296453562863744,0.1837697252428532,11.406163145954995,-0.13467015999210988,0.7070884939277757,69.06876704227649,-0.000592167942442234,-9.472496906377804e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tokyoTimeMachine/images/cd/CDMjyEQ7ikcTwpAhfKiFjg/_201306/CDMjyEQ7ikcTwpAhfKiFjg__201306_35.650712_139.693062_060_012.jpg,1,-1.04984087616532,-1.03219634669538,-1.15837192358896,-0.16925264900870998,0.31277428918469297,0.0173329559063547,0.828483625534929,0.986755862168405,0.552231109973056,-1.0057596010376,-0.0270900459193371,0.764682335052985,-0.8736021337190941,0.122494919659573,0.725855623145537,-1.35541155115533,0.19435816782783505,0.5233091435724051
tokyoTimeMachine/images/_j/_jrb47amAzBYkIkvxgdV5Q/_200912/_jrb47amAzBYkIkvxgdV5Q__200912_35.651508_139.690068_270_012.jpg,2,2.4410461101602707,0.04436750154078417,-347.18105667892405,1.2945138129404912,1.8521551914391183,-514.5435133372382,0.0017281501498261822,9.399894394235556e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tokyoTimeMachine/images/af/afkNx5lGFoxHunyoQdxpag/_201505/afkNx5lGFoxHunyoQdxpag__201505_35.650345_139.685119_090_012.jpg,2,-17.202995309262388,-0.6696942173781266,3616.569399719272,-6.9341438912283895,-6.526112624886467,2428.579638345315,-0.024318211307312217,0.0019885503536730296,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tokyoTimeMachine/images/av/aVrXpa_22OxSnnccYH4SzQ/_200909/aVrXpa_22OxSnnccYH4SzQ__200909_35.652574_139.686763_030_012.jpg,2,0.3662229556050845,0.05807331085544569,34.07625593617495,-0.38542580237209,0.497035862854533,168.4823119750003,-0.0010226034946847738,0.00010351092603302198,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tokyoTimeMachine/images/1c/1ccW75BWXBkTCnjTYuZYCg/_201407/1ccW75BWXBkTCnjTYuZYCg__201407_35.651716_139.694304_000_012.jpg,2,0.14865732183200805,-0.03863301841582528,225.3891969603603,-0.09243427808585183,0.6216411651947762,65.73300472376327,-0.0007658999110015633,9.841172040803193e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tokyoTimeMachine/images/ea/EAe205GFUkwE105VjQBYMQ/_201306/EAe205GFUkwE105VjQBYMQ__201306_35.655968_139.688168_240_012.jpg,1,-1.03154019197986,-0.914094491197577,-1.03869848041989,-0.0714087817159164,0.297376472488091,-0.0405867632610787,0.601583525306962,1.05639316793974,0.725584790277116,-1.17003775753184,0.31728575574586304,0.924621932063415,-1.27792583449218,0.13759758830735,1.25075923529228,-0.72733488657822,-0.00821161607949736,1.1004947928525
tokyoTimeMachine/images/gq/GqA3udo1b84hhDzC4NH7zg/_201306/GqA3udo1b84hhDzC4NH7zg__201306_35.655883_139.681323_270_012.jpg,2,-0.06115894636069358,0.285845868759566,165.03033070776138,-0.5083381200178236,0.8187453673425291,167.7816691784873,-0.0015316442498175516,0.0007165334925736019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tokyoTimeMachine/images/a8/A8hb_DXNezZf6VrqmFJtKg/_201407/A8hb_DXNezZf6VrqmFJtKg__201407_35.656011_139.685563_210_012.jpg,2,2.0376319150968323,-0.5579253515746216,-146.29759329561233,0.3732555571472936,0.7471583040851992,-28.635874937326808,0.0016323000978917582,-0.0014244293627486034,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tokyoTimeMachine/images/1o/1oarritUOdePWo-57iCU8Q/_201407/1oarritUOdePWo-57iCU8Q__201407_35.650804_139.691347_180_012.jpg,0,0.9581097364425659,-0.0576302893459797,0.0795556530356407,-0.12120322883129099,0.826750099658966,-0.0254139918833971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tokyoTimeMachine/images/80/8095Vu-rn2L3VSWa0sJWOg/_201307/8095Vu-rn2L3VSWa0sJWOg__201307_35.654853_139.683978_120_012.jpg,2,0.8453593696282745,-0.25508088257381983,46.82145453452997,-0.04410065386964697,1.1998580612214331,-63.53963771816642,-0.0002681483039108716,-7.923037640059958e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tokyoTimeMachine/images/1q/1qClkRqWX5FpxTXHmJ7nuw/_201505/1qClkRqWX5FpxTXHmJ7nuw__201505_35.650804_139.691524_150_012.jpg,2,1.6311141304347945,-0.43894459020489257,-71.74400299850393,0.3227370689655193,0.7930175537231495,-36.48050974512931,0.0009487443778111012,-0.0008394240379809957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
